ID,Response
50883,0.7393616
50884,0.7589765
50885,0.7393616
50886,0.72650856
50887,0.7393616
50888,0.7393616
50889,0.73991024
50890,0.72650856
50891,0.72650856
50892,0.73991024
50893,0.73674446
50894,0.7079168
50895,0.72650856
50896,0.7393616
50897,0.72650856
50898,0.72650856
50899,0.72650856
50900,0.72650856
50901,0.7589765
50902,0.7079168
50903,0.7839516
50904,0.7079168
50905,0.7666213
50906,0.7839516
50907,0.7589765
50908,0.72650856
50909,0.7839516
50910,0.72650856
50911,0.7393616
50912,0.7839516
50913,0.7589765
50914,0.7589765
50915,0.7589765
50916,0.7079168
50917,0.6938534
50918,0.72650856
50919,0.72650856
50920,0.7393616
50921,0.72650856
50922,0.7079168
50923,0.7666213
50924,0.72650856
50925,0.7079168
50926,0.72650856
50927,0.72650856
50928,0.7079168
50929,0.7393616
50930,0.72650856
50931,0.7393616
50932,0.72650856
50933,0.7839516
50934,0.7484532
50935,0.72650856
50936,0.72650856
50937,0.7079168
50938,0.7666213
50939,0.72650856
50940,0.72650856
50941,0.6938534
50942,0.72650856
50943,0.7079168
50944,0.7839516
50945,0.7907585
50946,0.7079168
50947,0.6938534
50948,0.7589765
50949,0.73991024
50950,0.7589765
50951,0.7393616
50952,0.72650856
50953,0.7079168
50954,0.7589765
50955,0.72650856
50956,0.72650856
50957,0.72650856
50958,0.72650856
50959,0.72650856
50960,0.7393616
50961,0.7393616
50962,0.72650856
50963,0.7589765
50964,0.7484532
50965,0.7079168
50966,0.7393616
50967,0.7393616
50968,0.7589765
50969,0.72650856
50970,0.72650856
50971,0.7839516
50972,0.7839516
50973,0.7079168
50974,0.7484532
50975,0.7589765
50976,0.72650856
50977,0.72650856
50978,0.73674446
50979,0.72650856
50980,0.72650856
50981,0.7666213
50982,0.7839516
50983,0.7839516
50984,0.72650856
50985,0.7393616
50986,0.7839516
50987,0.72650856
50988,0.72650856
50989,0.72650856
50990,0.73674446
50991,0.7589765
50992,0.72650856
50993,0.72650856
50994,0.7589765
50995,0.72650856
50996,0.72650856
50997,0.7079168
50998,0.72650856
50999,0.72650856
51000,0.7079168
51001,0.7589765
51002,0.73991024
51003,0.7589765
51004,0.7589765
51005,0.7079168
51006,0.7589765
51007,0.72650856
51008,0.7079168
51009,0.7079168
51010,0.72650856
51011,0.72650856
51012,0.72650856
51013,0.72650856
51014,0.73991024
51015,0.72650856
51016,0.72650856
51017,0.72650856
51018,0.7589765
51019,0.7393616
51020,0.7393616
51021,0.72650856
51022,0.7079168
51023,0.7484532
51024,0.72650856
51025,0.7393616
51026,0.72650856
51027,0.72650856
51028,0.72650856
51029,0.72650856
51030,0.72650856
51031,0.7393616
51032,0.7484532
51033,0.72650856
51034,0.7393616
51035,0.7839516
51036,0.7589765
51037,0.72650856
51038,0.72650856
51039,0.72650856
51040,0.72650856
51041,0.72650856
51042,0.72650856
51043,0.7919255
51044,0.72650856
51045,0.72650856
51046,0.7589765
51047,0.7393616
51048,0.72650856
51049,0.72650856
51050,0.7589765
51051,0.7589765
51052,0.7079168
51053,0.7589765
51054,0.7589765
51055,0.7393616
51056,0.72650856
51057,0.7393616
51058,0.72650856
51059,0.73674446
51060,0.72650856
51061,0.72650856
51062,0.72650856
51063,0.7079168
51064,0.7393616
51065,0.72650856
51066,0.72650856
51067,0.7589765
51068,0.72650856
51069,0.72650856
51070,0.72650856
51071,0.7589765
51072,0.72650856
51073,0.73674446
51074,0.7589765
51075,0.72650856
51076,0.7393616
51077,0.7589765
51078,0.7079168
51079,0.7589765
51080,0.72650856
51081,0.72650856
51082,0.7079168
51083,0.72650856
51084,0.7589765
51085,0.72650856
51086,0.7839516
51087,0.72650856
51088,0.72650856
51089,0.7589765
51090,0.72650856
51091,0.7666213
51092,0.72650856
51093,0.72650856
51094,0.7393616
51095,0.7079168
51096,0.72650856
51097,0.72650856
51098,0.7079168
51099,0.7589765
51100,0.72650856
51101,0.7393616
51102,0.7589765
51103,0.73991024
51104,0.72650856
51105,0.7589765
51106,0.7393616
51107,0.72650856
51108,0.72650856
51109,0.72650856
51110,0.72650856
51111,0.7393616
51112,0.72650856
51113,0.72650856
51114,0.72650856
51115,0.72650856
51116,0.72650856
51117,0.72650856
51118,0.72650856
51119,0.7079168
51120,0.73674446
51121,0.72650856
51122,0.72650856
51123,0.72650856
51124,0.7393616
51125,0.72650856
51126,0.72650856
51127,0.72650856
51128,0.7589765
51129,0.72650856
51130,0.72650856
51131,0.6938534
51132,0.7079168
51133,0.72650856
51134,0.6938534
51135,0.7589765
51136,0.7393616
51137,0.7589765
51138,0.7393616
51139,0.7589765
51140,0.7393616
51141,0.7393616
51142,0.72650856
51143,0.7589765
51144,0.72650856
51145,0.72650856
51146,0.72650856
51147,0.7666213
51148,0.72650856
51149,0.72650856
51150,0.72650856
51151,0.73991024
51152,0.7393616
51153,0.7393616
51154,0.7589765
51155,0.72650856
51156,0.7393616
51157,0.72650856
51158,0.7079168
51159,0.7589765
51160,0.7393616
51161,0.7079168
51162,0.7393616
51163,0.7919255
51164,0.7079168
51165,0.72650856
51166,0.7589765
51167,0.7393616
51168,0.7079168
51169,0.7589765
51170,0.72650856
51171,0.7589765
51172,0.72650856
51173,0.7589765
51174,0.7589765
51175,0.7484532
51176,0.72650856
51177,0.7079168
51178,0.7079168
51179,0.72650856
51180,0.72650856
51181,0.7589765
51182,0.7853242
51183,0.7589765
51184,0.7393616
51185,0.72650856
51186,0.72650856
51187,0.7589765
51188,0.7079168
51189,0.72650856
51190,0.7393616
51191,0.72650856
51192,0.73674446
51193,0.72650856
51194,0.7393616
51195,0.72650856
51196,0.72650856
51197,0.7393616
51198,0.7589765
51199,0.72650856
51200,0.72650856
51201,0.7589765
51202,0.72650856
51203,0.7589765
51204,0.72650856
51205,0.7393616
51206,0.72650856
51207,0.72650856
51208,0.7589765
51209,0.72650856
51210,0.72650856
51211,0.73991024
51212,0.72650856
51213,0.7839516
51214,0.72650856
51215,0.72650856
51216,0.72650856
51217,0.72650856
51218,0.72650856
51219,0.7589765
51220,0.7393616
51221,0.72650856
51222,0.7079168
51223,0.7589765
51224,0.72650856
51225,0.72650856
51226,0.7589765
51227,0.7589765
51228,0.72650856
51229,0.7839516
51230,0.72650856
51231,0.72650856
51232,0.7393616
51233,0.7589765
51234,0.73991024
51235,0.7393616
51236,0.7079168
51237,0.7589765
51238,0.7589765
51239,0.7839516
51240,0.7839516
51241,0.72650856
51242,0.72650856
51243,0.72650856
51244,0.72650856
51245,0.7589765
51246,0.7589765
51247,0.7393616
51248,0.7079168
51249,0.7589765
51250,0.72650856
51251,0.7393616
51252,0.7919255
51253,0.72650856
51254,0.72650856
51255,0.72650856
51256,0.73991024
51257,0.7079168
51258,0.7589765
51259,0.72650856
51260,0.72650856
51261,0.7393616
51262,0.7393616
